State,Turnout Rates,,,Numerators,,,,Denominators,,VEP Components (Modifications to VAP to Calculate VEP),,,,,
,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Status,Link,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible
United States,,36.4%,,,"82,605,639",,,"227,224,334","245,712,915",8.3%,"1,513,332","2,342,582","637,410","3,445,233","5,345,814"
Alabama,,33.5%,,,"1,200,000",,,"3,586,835","3,751,844",2.5%,"31,354","57,993","8,616","71,783",
Alaska,,55.3%,,,"290,000",,http://www.elections.alaska.gov/results/14GENR/data/results.htm,"524,865","553,473",3.7%,"2,682","7,173","1,882","11,317",
Arizona,,34.4%,,,"1,550,000",,http://results.enr.clarityelections.com/AZ/53314/148279/Web01/en/summary.html,"4,507,185","5,110,890",10.2%,"39,062","72,452","7,460","85,940",
Arkansas,,41.2%,,,"875,000",,http://results.enr.clarityelections.com/AR/53237/148244/Web01/en/summary.html,"2,124,019","2,263,040",3.6%,"17,159","30,122","23,372","53,991",
California,,32.8%,,,"8,000,000",,http://vote.sos.ca.gov/returns/governor/,"24,408,163","29,646,675",16.9%,"135,981",0,"89,287","223,821",
Colorado,,53.0%,,,"2,025,000",,http://results.enr.clarityelections.com/CO/53335/148281/Web01/en/summary.html,"3,819,197","4,128,890",6.7%,"20,371",0,"11,458","31,920",
Connecticut,,42.7%,,,"1,100,000",,http://www.ct.gov/sots/cwp/view.asp?a=3179&q=392194,"2,577,986","2,828,791",8.3%,"12,162",0,"2,793","20,323",
Delaware,,34.5%,,,"235,000",,http://elections.delaware.gov/results/html/election.shtml,"681,226","735,156",5.6%,"4,112","15,641",601,"15,805",
District of Columbia,,30.3%,,,"150,000",,https://www.dcboee.org/election_info/election_results/2014/November-4-General-Election,"495,028","547,228",9.5%,0,0,0,0,
Florida,,43.1%,,,"6,000,000",,http://enight.elections.myflorida.com/StateOffices/,"13,930,703","15,816,663",10.4%,"103,028","240,869","4,538","234,129",
Georgia,,34.1%,,,"2,300,000",,,"6,739,922","7,601,982",7.2%,"53,478","442,061","24,761","314,510",
Hawaii,,35.0%,,,"354,000",,http://hawaii.gov/elections/results/2014/general/,"1,012,635","1,113,693",8.7%,"3,618",0,0,"5,831",
Idaho,,39.1%,,,"440,000",,http://www.sos.idaho.gov/ELECT/results/ENR/statewide_total.html,"1,124,381","1,205,611",4.4%,"7,549","31,606","3,848","28,584",
Illinois,,39.5%,,,"3,550,000",,http://www.elections.state.il.us/NewsDetail.aspx?ID=147,"8,987,613","9,922,399",8.9%,"48,653",0,0,"49,348",
Indiana,,28.0%,,,"1,350,000",,http://www.in.gov/apps/sos/election/general/general2014,"4,818,728","5,033,872",3.7%,"29,905",0,0,"28,831",
Iowa,,50.6%,,,"1,150,000",,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabView=StateRaces^Federal%20/%20Statewide%20Races^84&ElectionID=84,"2,273,985","2,386,733",3.5%,"8,654","29,333","5,151","29,430",
Kansas,,42.8%,,,"875,000",,http://www.kssos.org/ent/kssos_ent.html,"2,043,822","2,184,712",5.4%,"9,506","17,021","5,126","23,829",
Kentucky,,44.2%,,,"1,440,000",,http://results.enr.clarityelections.com/KY/53704/148184/en/summary.html,"3,260,695","3,406,506",2.4%,"20,330","54,511","14,419","65,420",
Louisiana,,43.9%,,,"1,475,000",,http://electionresults.sos.la.gov/graphical/,"3,357,066","3,545,845",2.8%,"39,298","41,298","28,946","91,006",
Maine,,59.3%,,,"625,000",,,"1,054,332","1,071,521",1.6%,0,0,0,0,
Maryland,,41.9%,,,"1,750,000",,http://elections.state.md.us/elections/2014/results/General/gen_results_2014_2_003-.html,"4,174,463","4,645,171",8.3%,"20,988","96,640","13,195","85,936",
Massachusetts,,43.9%,,,"2,150,000",,,"4,900,170","5,369,534",8.6%,"9,643",0,0,"11,308",
Michigan,,42.7%,,,"3,151,835",,http://miboecfr.nictusa.com/election/results/14GEN/02000000.html,"7,389,371","7,700,110",3.5%,"43,704",0,0,"43,636",
Minnesota,,51.3%,,,"2,025,000",,http://electionresults.sos.state.mn.us/,"3,945,136","4,194,166",4.2%,"10,289","108,157","6,006","73,267",
Mississippi,,29.7%,,,"650,000",,,"2,187,392","2,267,463",1.6%,"20,742","30,768","6,804","45,430",
Missouri,,32.3%,,,"1,450,000",,http://enr.sos.mo.gov/EnrNet/,"4,487,349","4,682,458",2.4%,"31,537","55,470","20,672","81,318",
Montana,,46.1%,,,"365,000",,http://electionresults.sos.mt.gov/resultsSW.aspx?type=FED&map=CTY,"790,960","802,644",1.0%,"3,642",0,0,"3,609",
Nebraska,,41.3%,,,"550,000",,http://electionresults.sos.ne.gov/,"1,330,551","1,419,489",5.3%,"4,929","14,260",1383,"13,646",
Nevada,,31.8%,,,"600,000",,,"1,886,848","2,173,640",12.1%,"12,915","11,321","5,379","24,262",
New Hampshire,,48.8%,,,"500,000",,http://sos.nh.gov/2014GenResults.aspx,"1,024,678","1,061,054",3.2%,"2,848",0,0,"2,790",
New Jersey,,30.4%,,,"1,825,000",,http://www.state.nj.us/state/elections/election-information-archive-2014.html,"6,007,976","6,936,661",12.0%,"22,452","114,886","14,987","99,102",
New Mexico,,38.3%,,,"550,000",,http://electionresults.sos.state.nm.us/resultsSW.aspx?type=SW&map=CTY,"1,436,968","1,586,442",8.0%,"6,687","21,381","5,078","23,137",
New York,,29.5%,,,"4,000,000",,http://nyenr.elections.state.ny.us/,"13,563,172","15,544,111",12.1%,"53,428",0,"46,222","100,432",
North Carolina,,40.7%,,,"2,900,000",,http://enr.ncsbe.gov/ElectionResults/,"7,132,188","7,693,406",6.1%,"35,181","96,070","4,359","92,412",
North Dakota,,44.1%,,,"250,000",,http://results.sos.nd.gov/resultsSW.aspx?text=Race&type=SW&map=CTY,"567,163","582,205",2.3%,"1,513",0,0,"1,512",
Ohio,,36.2%,,,"3,150,000",,https://vote.ohio.gov/Results.aspx?race=Governor,"8,700,170","8,969,074",2.4%,"51,729",0,0,"50,876",
Oklahoma,,29.8%,,,"825,000",,http://www.ok.gov/elections/support/ok_results_seb.html,"2,769,828","2,940,437",4.4%,"25,496","25,506","2,310","41,053",
Oregon,,52.7%,,,"1,519,804",Unofficial,http://sos.oregon.gov/elections/Pages/default.aspx,"2,881,903","3,115,883",7.0%,"15,180",0,0,"14,840",
Pennsylvania,,36.1%,,,"3,500,000",,http://www.electionreturns.state.pa.us/,"9,702,162","10,100,271",3.4%,"50,083",0,0,"51,125",
Rhode Island,,41.7%,,,"325,000",,http://www.ri.gov/election/results/2014/general_election/,"779,441","842,605",7.3%,"2,039",0,0,"3,318",
